1   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42760.233717 65.168865 0.000000
2   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42799.573375 60.245140 0.000000
3   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42661.637029 70.132596 0.000000
4   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42730.689435 81.966524 0.000000
5   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42862.422770 66.835685 0.000000
6   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42709.209253 90.014945 0.000000
7   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42773.774618 86.866836 0.000000
8   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42755.697661 88.792665 0.000000
9   0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42801.824238 66.348675 0.000000
10  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42533.176876 70.006282 0.000000
11  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42846.253115 57.506918 0.000000
12  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42802.038223 77.505242 0.000000
13  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42872.024487 84.725040 0.000000
14  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42740.741681 60.606912 0.000000
15  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42616.931888 66.899626 0.000000
16  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42875.340708 66.279096 0.000000
17  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42662.649499 62.671718 0.000000
18  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42738.922830 89.622665 0.000000
19  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42722.867986 77.151473 0.000000
20  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42615.265765 88.650923 0.000000
21  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42909.527082 58.444739 0.000000
22  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42782.699102 76.288279 0.000000
23  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42775.220581 81.704711 0.000000
24  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42779.214292 76.262749 0.000000
25  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42784.499136 73.553442 0.000000
26  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42730.474182 61.313770 0.000000
27  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42669.152763 63.154590 0.000000
28  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42712.725011 81.200891 0.000000
29  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42628.591476 89.144145 0.000000
30  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42870.844998 42.760932 0.000000
31  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42656.327450 73.079377 0.000000
32  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42860.260569 79.096410 0.000000
33  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42547.889943 56.859300 0.000000
34  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42784.384556 68.528434 0.000000
35  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42648.358650 63.973558 0.000000
36  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42891.729236 77.095897 0.000000
37  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42789.792079 91.201546 0.000000
38  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42849.151731 90.782590 0.000000
39  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42684.705216 70.135238 0.000000
40  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42890.844982 88.798594 0.000000
41  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42653.526532 84.281574 0.000000
42  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42759.252219 70.214471 0.000000
43  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42753.756950 67.754418 0.000000
44  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42831.860291 80.768512 0.000000
45  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42734.009569 66.493586 0.000000
46  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42623.809989 59.746894 0.000000
47  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42613.102722 71.348068 0.000000
48  0 300.000000 1.000000 0.000000 0.000000 0.100000 0.000000 0.000000 -42824.021094 16.687778 0.000000
49  1 300.000000 1.000000 0.000000 0.100000 0.100000 0.000000 0.000000 -42746.814504 45.072678 0.000000
50  1 300.000000 1.000000 0.000000 0.100000 0.100000 0.000000 0.000000 -42768.151601 23.976993 0.000000
51  2 300.000000 1.000000 0.000000 0.200000 0.100000 0.000000 0.000000 -42680.881239 5.018937 0.000000
52  3 300.000000 1.000000 0.000000 0.300000 0.100000 0.000000 0.000000 -42855.219337 8.611366 0.000000
53  5 300.000000 1.000000 0.000000 0.500000 0.100000 0.000000 0.000000 -42645.262532 3.017744 0.000000
54  7 300.000000 1.000000 0.200000 0.500000 0.100000 0.000000 0.000000 -42593.877002 0.981997 0.000000
55  4 300.000000 1.000000 0.000000 0.400000 0.100000 0.000000 0.000000 -42552.848807 4.958290 0.000000
56  5 300.000000 1.000000 0.000000 0.500000 0.100000 0.000000 0.000000 -42904.034936 2.575396 0.000000
57  7 300.000000 1.000000 0.200000 0.500000 0.100000 0.000000 0.000000 -42777.915559 4.964414 0.000000
58  6 300.000000 1.000000 0.100000 0.500000 0.100000 0.000000 0.000000 -42640.186646 7.062357 0.000000
59  4 300.000000 1.000000 0.000000 0.400000 0.100000 0.000000 0.000000 -42708.647879 21.445810 0.000000
60  2 300.000000 1.000000 0.000000 0.200000 0.100000 0.000000 0.000000 -42773.712907 14.239658 0.000000
61  2 300.000000 1.000000 0.000000 0.200000 0.100000 0.000000 0.000000 -42613.947974 8.873312 0.000000
62  2 300.000000 1.000000 0.000000 0.200000 0.100000 0.000000 0.000000 -42771.952085 21.687511 0.000000
63  2 300.000000 1.000000 0.000000 0.200000 0.100000 0.000000 0.000000 -42738.161845 11.240758 0.000000
64  4 300.000000 1.000000 0.000000 0.400000 0.100000 0.000000 0.000000 -42850.953802 8.662545 0.000000
65  2 300.000000 1.000000 0.000000 0.200000 0.100000 0.000000 0.000000 -42663.071640 14.800751 0.000000
66  2 300.000000 1.000000 0.000000 0.200000 0.100000 0.000000 0.000000 -42719.997108 7.844662 0.000000
67  9 300.000000 1.000000 0.400000 0.500000 0.100000 0.000000 0.000000 -42694.268224 0.265690 0.000000
68  7 300.000000 1.000000 0.200000 0.500000 0.100000 0.000000 0.000000 -42778.799320 -1.602009 0.000000
69  10 300.000000 1.000000 0.500000 0.500000 0.100000 0.000000 0.000000 -42798.738402 -6.289405 0.000000
70  11 300.000000 -1.000000 0.500000 0.500000 0.100000 0.000000 0.000000 -42727.293699 2.858051 0.000000
71  16 300.000000 -1.000000 0.000000 0.500000 0.100000 0.000000 0.000000 -42869.201753 6.186654 0.000000
72  15 300.000000 -1.000000 0.100000 0.500000 0.100000 0.000000 0.000000 -42715.577601 -1.815605 0.000000
73  15 300.000000 -1.000000 0.100000 0.500000 0.100000 0.000000 0.000000 -42753.135321 5.099734 0.000000
74  8 300.000000 1.000000 0.300000 0.500000 0.100000 0.000000 0.000000 -42468.207316 2.692428 0.000000
