1   0 300.000000 -1.000000 0.000000 0.000000 0.400000 2.000000 0.000000 -31743.140622 29.929692 0.000000
2   4 300.000000 -1.000000 0.000000 0.268000 0.400000 2.000000 0.000000 -31652.630802 38.658489 0.000000
3   4 300.000000 -1.000000 0.000000 0.268000 0.400000 2.000000 0.000000 -31832.460508 26.444979 0.000000
4   8 300.000000 -1.000000 0.000000 0.536000 0.400000 2.000000 0.000000 -31721.143024 23.449795 0.000000
5   10 300.000000 -1.000000 0.000000 0.670000 0.400000 2.000000 0.000000 -31868.318390 -10.441049 0.000000
6   14 300.000000 -1.000000 0.270000 0.737000 0.400000 2.000000 0.000000 -31726.024685 -9.426823 0.000000
7   12 300.000000 -1.000000 0.090000 0.737000 0.400000 2.000000 0.000000 -31734.802039 -14.012012 0.000000
8   11 300.000000 -1.000000 0.000000 0.737000 0.400000 2.000000 0.000000 -31768.494439 1.551483 0.000000
9   11 300.000000 -1.000000 0.000000 0.737000 0.400000 2.000000 0.000000 -31707.038260 -4.648746 0.000000
10  11 300.000000 -1.000000 0.000000 0.737000 0.400000 2.000000 0.000000 -31624.817871 -13.839915 0.000000
11  13 300.000000 -1.000000 0.170000 0.737000 0.400000 2.000000 0.000000 -31823.243766 -11.732651 0.000000
12  14 300.000000 -1.000000 0.270000 0.737000 0.400000 2.000000 0.000000 -31890.402515 -24.191315 0.000000
13  14 300.000000 -1.000000 0.270000 0.737000 0.400000 2.000000 0.000000 -31756.036983 -18.152567 0.000000
14  16 300.000000 -1.000000 0.450000 0.737000 0.400000 2.000000 0.000000 -31674.177068 -21.087189 0.000000
15  15 300.000000 -1.000000 0.360000 0.737000 0.400000 2.000000 0.000000 -31841.318546 -16.751537 0.000000
16  13 300.000000 -1.000000 0.170000 0.737000 0.400000 2.000000 0.000000 -31660.310067 -16.629890 0.000000
17  14 300.000000 -1.000000 0.270000 0.737000 0.400000 2.000000 0.000000 -31692.355836 -8.466765 0.000000
18  10 300.000000 -1.000000 0.000000 0.670000 0.400000 2.000000 0.000000 -31843.958254 -8.972680 0.000000
19  9 300.000000 -1.000000 0.000000 0.603000 0.400000 2.000000 0.000000 -31705.344149 -6.254565 0.000000
20  12 300.000000 -1.000000 0.090000 0.737000 0.400000 2.000000 0.000000 -31854.278103 -0.788563 0.000000
21  12 300.000000 -1.000000 0.090000 0.737000 0.400000 2.000000 0.000000 -31768.819728 -6.774513 0.000000
22  11 300.000000 -1.000000 0.000000 0.737000 0.400000 2.000000 0.000000 -31885.206610 -2.308103 0.000000
23  10 300.000000 -1.000000 0.000000 0.670000 0.400000 2.000000 0.000000 -31668.622097 -5.259250 0.000000
24  13 300.000000 -1.000000 0.170000 0.737000 0.400000 2.000000 0.000000 -31863.389252 -9.522353 0.000000
25  13 300.000000 -1.000000 0.170000 0.737000 0.400000 2.000000 0.000000 -31849.429801 -11.749629 0.000000
26  14 300.000000 -1.000000 0.270000 0.737000 0.400000 2.000000 0.000000 -31792.121407 -20.100015 0.000000
27  16 300.000000 -1.000000 0.450000 0.737000 0.400000 2.000000 0.000000 -31757.731474 -20.285069 0.000000
28  16 300.000000 -1.000000 0.450000 0.737000 0.400000 2.000000 0.000000 -31689.603079 -18.299156 0.000000
29  17 300.000000 -1.000000 0.603000 0.737000 0.400000 2.000000 0.000000 -31748.635418 -27.950514 0.000000
30  21 300.000000 -1.000000 1.000000 1.000000 0.400000 2.000000 0.000000 -31823.336456 -34.489044 0.000000
31  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -32016.525770 -32.508695 0.000000
32  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -31775.681404 -39.856265 0.000000
33  21 300.000000 -1.000000 1.000000 1.000000 0.400000 2.000000 0.000000 -31884.527741 -33.810465 0.000000
34  21 300.000000 -1.000000 1.000000 1.000000 0.400000 2.000000 0.000000 -31706.876780 -36.085028 0.000000
35  21 300.000000 -1.000000 1.000000 1.000000 0.400000 2.000000 0.000000 -31909.558748 -37.743047 0.000000
36  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -31840.189387 -35.669447 0.000000
37  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -31709.566774 -37.764555 0.000000
38  19 300.000000 -1.000000 0.804000 0.871000 0.400000 2.000000 0.000000 -31867.115704 -27.325625 0.000000
39  18 300.000000 -1.000000 0.737000 0.804000 0.400000 2.000000 0.000000 -31756.213765 -27.836045 0.000000
40  17 300.000000 -1.000000 0.603000 0.737000 0.400000 2.000000 0.000000 -31764.948712 -30.687458 0.000000
41  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -31780.464934 -30.608888 0.000000
42  18 300.000000 -1.000000 0.737000 0.804000 0.400000 2.000000 0.000000 -31748.238768 -26.340812 0.000000
43  17 300.000000 -1.000000 0.603000 0.737000 0.400000 2.000000 0.000000 -31857.004295 -21.783549 0.000000
44  17 300.000000 -1.000000 0.603000 0.737000 0.400000 2.000000 0.000000 -31922.062581 -25.340509 0.000000
45  19 300.000000 -1.000000 0.804000 0.871000 0.400000 2.000000 0.000000 -31868.506531 -31.928336 0.000000
46  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -31721.175754 -30.906138 0.000000
47  18 300.000000 -1.000000 0.737000 0.804000 0.400000 2.000000 0.000000 -31833.599387 -24.613021 0.000000
48  17 300.000000 -1.000000 0.603000 0.737000 0.400000 2.000000 0.000000 -31677.111364 -28.887204 0.000000
49  17 300.000000 -1.000000 0.603000 0.737000 0.400000 2.000000 0.000000 -31794.686791 -25.486314 0.000000
50  18 300.000000 -1.000000 0.737000 0.804000 0.400000 2.000000 0.000000 -31856.863486 -35.009055 0.000000
51  21 300.000000 -1.000000 1.000000 1.000000 0.400000 2.000000 0.000000 -31819.206577 -32.692881 0.000000
52  19 300.000000 -1.000000 0.804000 0.871000 0.400000 2.000000 0.000000 -31630.531870 -31.626007 0.000000
53  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -31698.907379 -28.886512 0.000000
54  19 300.000000 -1.000000 0.804000 0.871000 0.400000 2.000000 0.000000 -31871.110034 -31.466459 0.000000
55  18 300.000000 -1.000000 0.737000 0.804000 0.400000 2.000000 0.000000 -31797.729225 -23.515110 0.000000
56  19 300.000000 -1.000000 0.804000 0.871000 0.400000 2.000000 0.000000 -31740.705608 -35.632069 0.000000
57  20 300.000000 -1.000000 0.938000 0.938000 0.400000 2.000000 0.000000 -31824.036410 -32.624920 0.000000
58  19 300.000000 -1.000000 0.804000 0.871000 0.400000 2.000000 0.000000 -31839.983550 -29.768483 0.000000
