1   0 300.000000 -1.000000 0.000000 0.000000 0.400000 5.000000 0.000000 -31744.128939 43.645524 0.000000
2   1 300.000000 -1.000000 0.000000 0.067000 0.400000 5.000000 0.000000 -31782.162163 35.677638 0.000000
3   3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31782.746360 29.227803 0.000000
4   6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31585.934872 29.046764 0.000000
5   5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31896.298355 27.494548 0.000000
6   5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31709.669183 34.618487 0.000000
7   5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31676.549957 27.621651 0.000000
8   6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31832.378058 29.890775 0.000000
9   8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31642.137852 22.258048 0.000000
10  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31782.262211 14.402939 0.000000
11  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31730.128599 30.769951 0.000000
12  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31687.112445 26.443625 0.000000
13  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31814.497736 23.404755 0.000000
14  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31851.388172 31.024247 0.000000
15  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31782.003150 27.080347 0.000000
16  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31698.185959 21.602923 0.000000
17  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31669.756813 27.428367 0.000000
18  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31645.181217 31.380074 0.000000
19  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31787.352961 30.191036 0.000000
20  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31818.507756 11.977146 0.000000
21  9 300.000000 -1.000000 0.000000 0.603000 0.400000 5.000000 0.000000 -31779.239720 21.498908 0.000000
22  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31628.224796 28.638765 0.000000
23  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31749.867620 27.415950 0.000000
24  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31787.309535 23.873117 0.000000
25  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31516.315682 26.101970 0.000000
26  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31726.145484 23.335432 0.000000
27  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31838.431977 22.627732 0.000000
28  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31624.893013 26.986809 0.000000
29  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31781.256665 26.967941 0.000000
30  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31748.546899 27.429057 0.000000
31  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31748.233898 20.868688 0.000000
32  9 300.000000 -1.000000 0.000000 0.603000 0.400000 5.000000 0.000000 -31792.625800 9.357703 0.000000
33  9 300.000000 -1.000000 0.000000 0.603000 0.400000 5.000000 0.000000 -31749.985199 12.269343 0.000000
34  9 300.000000 -1.000000 0.000000 0.603000 0.400000 5.000000 0.000000 -31785.769040 24.654170 0.000000
35  3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31865.618088 36.700622 0.000000
36  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31748.023922 34.070259 0.000000
37  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31742.093770 35.705173 0.000000
38  1 300.000000 -1.000000 0.000000 0.067000 0.400000 5.000000 0.000000 -31878.599533 34.928797 0.000000
39  1 300.000000 -1.000000 0.000000 0.067000 0.400000 5.000000 0.000000 -31899.437004 37.187734 0.000000
40  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31739.074402 32.901809 0.000000
41  3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31666.920143 32.986304 0.000000
42  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31862.087690 24.604104 0.000000
43  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31677.848161 28.142696 0.000000
44  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31787.455640 28.576102 0.000000
45  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31755.337046 26.543491 0.000000
46  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31794.322845 44.091914 0.000000
47  2 300.000000 -1.000000 0.000000 0.134000 0.400000 5.000000 0.000000 -31706.885996 34.033762 0.000000
48  3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31655.544929 45.787023 0.000000
49  2 300.000000 -1.000000 0.000000 0.134000 0.400000 5.000000 0.000000 -31667.357308 49.276856 0.000000
50  0 300.000000 -1.000000 0.000000 0.000000 0.400000 5.000000 0.000000 -31720.373609 44.758557 0.000000
51  3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31691.648955 32.530606 0.000000
52  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31831.994980 28.041381 0.000000
53  0 300.000000 -1.000000 0.000000 0.000000 0.400000 5.000000 0.000000 -31583.558197 40.444923 0.000000
54  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31806.114479 45.988855 0.000000
55  0 300.000000 -1.000000 0.000000 0.000000 0.400000 5.000000 0.000000 -31809.606354 39.388539 0.000000
56  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31683.883406 26.042845 0.000000
57  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31837.177194 24.429952 0.000000
58  3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31742.874228 31.244394 0.000000
59  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31753.490616 27.067703 0.000000
60  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31790.071734 29.242602 0.000000
61  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31738.682602 30.717626 0.000000
62  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31682.872862 22.425408 0.000000
63  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31886.161962 28.592877 0.000000
64  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31821.062910 20.874461 0.000000
65  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31747.733832 29.277798 0.000000
66  5 300.000000 -1.000000 0.000000 0.335000 0.400000 5.000000 0.000000 -31794.618611 45.328218 0.000000
67  1 300.000000 -1.000000 0.000000 0.067000 0.400000 5.000000 0.000000 -31725.640536 43.193227 0.000000
68  0 300.000000 -1.000000 0.000000 0.000000 0.400000 5.000000 0.000000 -31673.546389 33.859447 0.000000
69  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31533.602046 27.675682 0.000000
70  3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31847.346436 27.495444 0.000000
71  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31762.397482 16.982016 0.000000
72  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31619.566567 26.549694 0.000000
73  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31756.923760 27.601055 0.000000
74  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31741.726945 12.348661 0.000000
75  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31624.134068 30.203217 0.000000
76  2 300.000000 -1.000000 0.000000 0.134000 0.400000 5.000000 0.000000 -31701.834725 35.041510 0.000000
77  4 300.000000 -1.000000 0.000000 0.268000 0.400000 5.000000 0.000000 -31753.212756 38.615530 0.000000
78  3 300.000000 -1.000000 0.000000 0.201000 0.400000 5.000000 0.000000 -31975.610471 28.509792 0.000000
79  6 300.000000 -1.000000 0.000000 0.402000 0.400000 5.000000 0.000000 -31665.049753 17.567976 0.000000
80  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31900.023773 28.334461 0.000000
81  7 300.000000 -1.000000 0.000000 0.469000 0.400000 5.000000 0.000000 -31820.567930 15.723139 0.000000
82  8 300.000000 -1.000000 0.000000 0.536000 0.400000 5.000000 0.000000 -31756.889988 21.641247 0.000000
83  9 300.000000 -1.000000 0.000000 0.603000 0.400000 5.000000 0.000000 -31754.201084 14.847902 0.000000
84  9 300.000000 -1.000000 0.000000 0.603000 0.400000 5.000000 0.000000 -31753.148120 25.121564 0.000000
85  9 300.000000 -1.000000 0.000000 0.603000 0.400000 5.000000 0.000000 -31774.424649 4.946557 0.000000
